month,division,line,period,num_passengers,additional train time
2016-02,A DIVISION,5,peak,4839486.9,3.11
2016-02,A DIVISION,4,peak,6049012.5,2.71
2016-03,A DIVISION,7,peak,5932110.8,1.74
2016-03,A DIVISION,2,peak,5906897.4,1.70
2016-03,A DIVISION,6,offpeak,8210926.3,1.04
2016-03,A DIVISION,1,peak,7286552.5,1.30
2016-03,A DIVISION,4,peak,6994259.0,2.32
2016-03,A DIVISION,3,peak,4517082.2,1.35
2016-03,A DIVISION,S 42nd,peak,1973853.9,0.46
2016-03,A DIVISION,S 42nd,offpeak,1240929.5,0.40
2016-03,A DIVISION,7,offpeak,5035571.2,1.37
2016-03,A DIVISION,3,offpeak,3917591.2,1.14
2016-03,A DIVISION,6,peak,9620001.7,1.58
2016-03,A DIVISION,5,peak,5624504.9,2.65
2016-03,A DIVISION,5,offpeak,4390516.4,2.07
2016-03,A DIVISION,2,offpeak,5013171.1,1.74
2016-03,A DIVISION,4,offpeak,6197081.2,1.65
2016-03,A DIVISION,1,offpeak,6482706.0,1.21
2016-04,A DIVISION,S 42nd,offpeak,1384727.3,0.40
2016-04,A DIVISION,1,peak,6918249.9,1.15
2016-04,A DIVISION,4,peak,6681411.0,2.26
2016-04,A DIVISION,4,offpeak,6284991.5,1.73
2016-04,A DIVISION,5,offpeak,4301050.3,1.98
2016-04,A DIVISION,S 42nd,peak,1900085.9,0.45
2016-04,A DIVISION,7,offpeak,4905270.0,1.32
2016-04,A DIVISION,6,peak,8876535.9,1.62
2016-04,A DIVISION,7,peak,5442320.0,1.97
2016-04,A DIVISION,5,peak,5316568.2,2.56
2016-04,A DIVISION,3,offpeak,3851018.9,1.28
2016-04,A DIVISION,6,offpeak,8364646.2,0.97
2016-04,A DIVISION,1,offpeak,6685245.1,1.09
2016-04,A DIVISION,2,peak,5763186.6,1.68
2016-04,A DIVISION,3,peak,4151803.2,1.36
2016-04,A DIVISION,2,offpeak,5247927.3,1.85
2016-05,A DIVISION,5,offpeak,4402416.2,2.11
2016-05,A DIVISION,2,peak,5787669.1,1.82
2016-05,A DIVISION,3,offpeak,4121737.6,1.33
2016-05,A DIVISION,S 42nd,offpeak,1273590.9,0.41
