month,division,line,num_sched_trains,num_actual_trains,service delivered
2018-11,B DIVISION,A,2707,2562,0.9464
2018-11,A DIVISION,5,2667,2444,0.9164
2018-11,B DIVISION,G,924,946,1.0238
2018-11,B DIVISION,N,1904,1786,0.938
2018-12,A DIVISION,3,2040,1958,0.9598
2018-12,B DIVISION,L,1920,1898,0.9885
2018-12,A DIVISION,2,2200,2101,0.955
2018-12,A DIVISION,1,1660,1604,0.9663
2018-12,A DIVISION,4,2820,2551,0.9046
2018-12,A DIVISION,6,2058,1934,0.9397
2018-12,B DIVISION,B,1680,1643,0.978
2018-12,B DIVISION,Q,2060,1922,0.933
2018-12,A DIVISION,5,2540,2333,0.9185
2018-12,B DIVISION,C,1500,1455,0.97
2018-12,B DIVISION,W,780,735,0.9423
2018-12,B DIVISION,D,1820,1794,0.9857
2018-12,B DIVISION,S Fkln,648,644,0.9938
2018-12,B DIVISION,F,2880,2691,0.9344
2018-12,B DIVISION,A,2580,2436,0.9442
2018-12,A DIVISION,S 42nd,2920,2917,0.999
2018-12,B DIVISION,M,1682,1570,0.9334
2018-12,A DIVISION,7,2555,2428,0.9503
2018-12,B DIVISION,S Rock,440,442,1.0045
2018-12,B DIVISION,JZ,1020,991,0.9716
2018-12,B DIVISION,N,1800,1701,0.945
2018-12,B DIVISION,G,880,898,1.0205
2018-12,B DIVISION,E,1326,1233,0.9299
2018-12,B DIVISION,R,1980,1886,0.9525
2019-01,B DIVISION,R,2178,2097,0.9628
2019-01,B DIVISION,B,1848,1822,0.9859
2019-01,A DIVISION,5,2794,2612,0.9349
2019-01,B DIVISION,E,1716,1617,0.9423
